sigma,label,T1_true_s,T1_fit_s,T1_sigma_s,mape_pct,snr_dual
40.0,T1_13,0.03435,0.03367559150383103,1.495,3.112447603348624,21.12036012132398
40.0,T1_14,0.02416,0.027338109872698704,1.495,13.154428281037694,17.937064544434936
50.0,T1_1,1.879,1.4697901876254267,1.495,21.778063457933644,20.066742461536325
50.0,T1_2,1.432,1.1184674015260994,1.495,22.051640578788273,12.559152285466183
50.0,T1_3,1.027,1.0621588577563492,1.495,3.712354503971097,11.705740201645119
50.0,T1_4,0.7513,0.7987067320488086,1.495,9.133318275963097,16.45607581020445
50.0,T1_5,0.527,0.4963862239057785,1.495,5.809065672527801,19.62567010621393
50.0,T1_6,0.3841,0.5073636031615224,1.495,32.091539484905596,26.559671150174275
50.0,T1_7,0.2723,0.29270338580998484,1.495,7.492980466391799,24.86408316464903
50.0,T1_8,0.1945,0.19195848139597416,1.495,5.4169770213514346,23.8677108763829
50.0,T1_9,0.1378,0.141278824356003,1.495,3.200710204066679,25.226055407908227
50.0,T1_10,0.0947,0.09307119263470941,1.495,2.6965833738606984,21.767454872177133
50.0,T1_11,0.067,0.06616192600865473,1.495,2.095494798336585,18.355054679504455
50.0,T1_12,0.04814,0.05043937596219432,1.495,12.90294320191,15.194498467114437
50.0,T1_13,0.03435,0.03400505164801407,1.495,3.6619331552111136,15.229975151084547
50.0,T1_14,0.02416,0.027146832305732407,1.495,12.469208710396995,12.739466412060672
62.0,T1_1,1.879,1.524297199086974,1.495,18.877211331188185,21.503098459212737
62.0,T1_2,1.432,1.1407854490740852,1.495,21.376053479468805,13.44878104630757
62.0,T1_3,1.027,1.0960010203052484,1.495,6.7385897732628015,13.152701079975873
62.0,T1_4,0.7513,0.8315594347127445,1.495,15.851754810085465,16.64574171521078
62.0,T1_5,0.527,0.48808403642929926,1.495,7.490512240748506,20.171451688711468
62.0,T1_6,0.3841,0.5055643977489825,1.495,31.623118393382605,27.615890550893745
62.0,T1_7,0.2723,0.2889349565622299,1.495,6.131274638753482,26.218962344604336
62.0,T1_8,0.1945,0.18999405832729382,1.495,4.151628701141732,25.50639962089154
62.0,T1_9,0.1378,0.1421056324215372,1.495,3.1696304032754585,27.02588783037443
62.0,T1_10,0.0947,0.09414867172048164,1.495,2.709857753087685,23.186284426488818
62.0,T1_11,0.067,0.06652702020935748,1.495,3.2657970369837876,19.493970709516542
62.0,T1_12,0.04814,0.053533731666278984,1.495,12.18858742200766,16.232579863182615
62.0,T1_13,0.03435,0.03565471305868511,1.495,9.517634573532671,15.896533205079598
62.0,T1_14,0.02416,0.030974431110795723,1.495,28.490324288177714,12.908212993224625
70.0,T1_1,1.879,1.5791454239879696,1.495,15.958199894200652,16.26832152016196
70.0,T1_2,1.432,1.215313007490539,1.495,16.2188366181474,10.263891119397355
70.0,T1_3,1.027,1.091583305323013,1.495,7.2711844810842035,9.522545654614254
70.0,T1_4,0.7513,1.005414171983785,1.495,36.41169066721484,13.72423757717372
70.0,T1_5,0.527,0.4917525255184263,1.495,6.929443344958008,14.927994623599833
70.0,T1_6,0.3841,0.509777298469004,1.495,32.719942324656074,21.938619363844523
70.0,T1_7,0.2723,0.2906646821834075,1.495,6.8425280099745915,19.541340371387715
70.0,T1_8,0.1945,0.19811978066719338,1.495,7.4232123975224376,19.355676473677832
70.0,T1_9,0.1378,0.14047399167370345,1.495,3.202137774195583,20.539922818210904
70.0,T1_10,0.0947,0.09283699247668382,1.495,3.7212969485086917,17.243803207943245
70.0,T1_11,0.067,0.06696487647533661,1.495,3.366822956527734,14.489996085946949
70.0,T1_12,0.04814,0.052897876852667045,1.495,13.28968429500831,12.16613879317328
70.0,T1_13,0.03435,0.03729970795849609,1.495,14.814707283654903,12.275860870544754
70.0,T1_14,0.02416,0.033513528666582394,1.495,38.911141199551295,9.86115921007789
81.0,T1_1,1.879,1.4594551790992187,1.495,22.328090521595595,15.245358611990943
81.0,T1_2,1.432,1.0661130367068394,1.495,25.960493254545217,9.806728059216415
81.0,T1_3,1.027,1.0865324447169673,1.495,6.470045828535515,8.955223287857493
81.0,T1_4,0.7513,0.9064106663786275,1.495,23.39270210635923,12.5784244756062
81.0,T1_5,0.527,0.49897021436748185,1.495,5.760200633152405,14.217684219534325
81.0,T1_6,0.3841,0.5036197561142284,1.495,31.1168331461152,19.44445813398106
81.0,T1_7,0.2723,0.28735580124045296,1.495,6.1091223494308835,18.42678595313666
81.0,T1_8,0.1945,0.19864343823977143,1.495,7.928509255478797,18.373824995146162
81.0,T1_9,0.1378,0.14211737296061083,1.495,3.4491284145948664,18.87877788507098
81.0,T1_10,0.0947,0.09179261619249568,1.495,4.055195320191049,17.44447752501665
81.0,T1_11,0.067,0.06631179712800211,1.495,3.0151282989545134,14.521687059010125
81.0,T1_12,0.04814,0.05294338601396819,1.495,14.013461105437964,11.724103710574887
81.0,T1_13,0.03435,0.03883765523385206,1.495,21.26320646161858,11.826437656781788
81.0,T1_14,0.02416,0.03202262249198517,1.495,32.543967268150524,9.654840894746012
100.0,T1_1,1.879,1.4995553256573957,1.495,20.19396883143184,12.90095794751927
100.0,T1_2,1.432,1.1066340710499896,1.495,25.66821549541578,8.340493112591686
100.0,T1_3,1.027,1.093757661871337,1.495,10.363078577079452,7.138079020495383
100.0,T1_4,0.7513,0.8419957298768229,1.495,19.354270527819793,10.666714322786497
100.0,T1_5,0.527,0.4983722243518631,1.495,6.572194238016129,12.429145468554543
100.0,T1_6,0.3841,0.5030745047988425,1.495,30.97487758366119,16.099903770145296
100.0,T1_7,0.2723,0.29277573915460875,1.495,8.000570036311698,14.627765022484635
100.0,T1_8,0.1945,0.19655220874078178,1.495,7.9327596065916115,14.409918513697525
100.0,T1_9,0.1378,0.14235699795936713,1.495,5.001100301340219,15.470346814844
100.0,T1_10,0.0947,0.09225234580921106,1.495,3.709850339384175,13.408355698521868
100.0,T1_11,0.067,0.06462159008835346,1.495,5.02808712189359,12.063801376494988
100.0,T1_12,0.04814,0.050652200039502125,1.495,15.24318180682169,9.22180757258397
100.0,T1_13,0.03435,0.03453769154924433,1.495,9.670503795347942,9.482360120559866
100.0,T1_14,0.02416,0.03754492359254985,1.495,55.7895045558738,8.486009093719227
130.0,T1_1,1.879,1.496426601511144,1.495,21.09603452871889,10.293543475422497
130.0,T1_2,1.432,1.0544250373911526,1.495,27.06238373612405,6.289401580290203
130.0,T1_3,1.027,1.1096836748850079,1.495,14.191291628908802,5.694913211338945
130.0,T1_4,0.7513,0.9486712980471507,1.495,31.600193435594065,8.157530326478684
130.0,T1_5,0.527,0.5105220407327092,1.495,6.685287368582579,9.06054464837865
130.0,T1_6,0.3841,0.526104903329448,1.495,36.97081575877327,12.364933864271192
130.0,T1_7,0.2723,0.29371633553963716,1.495,9.327395328117925,12.392071938574857
130.0,T1_8,0.1945,0.1983519786096948,1.495,12.914268016714717,11.753738277573769
130.0,T1_9,0.1378,0.1434484891532738,1.495,8.205247171161105,12.368049810978274
130.0,T1_10,0.0947,0.0918107281114314,1.495,5.895191119443265,11.0541623446543
130.0,T1_11,0.067,0.0618488182001904,1.495,12.612511791712627,9.16599858915993
130.0,T1_12,0.04814,0.04741714832303305,1.495,18.663204644798313,7.840868657142488
130.0,T1_13,0.03435,0.04049948880835871,1.495,25.110304276155457,7.6496299509342185
130.0,T1_14,0.02416,0.041822373955818205,1.495,76.34257614028182,6.740968182618008
160.0,T1_1,1.879,1.3033615273009471,1.495,30.63536310266381,8.64690329898385
160.0,T1_2,1.432,1.0954418013389833,1.495,28.66657921756176,5.4431242620133755
160.0,T1_3,1.027,1.1130749386486203,1.495,18.242307422778172,5.671926108920805
160.0,T1_4,0.7513,0.9924710705041592,1.495,42.51366418873756,7.2804639630907255
160.0,T1_5,0.527,0.5284284048671273,1.495,23.20375206142269,7.470644332150562
160.0,T1_6,0.3841,0.4787670234956725,1.495,32.438173261044625,11.389043481416996
160.0,T1_7,0.2723,0.3002881976025333,1.495,11.829577037116518,10.613597695121147
160.0,T1_8,0.1945,0.19574204833694908,1.495,8.55418863204431,10.659384706267245
160.0,T1_9,0.1378,0.1546572013654004,1.495,13.802116306747822,11.492166885278905
