variant,label,T1_true_s,T1_fit_s,T1_sigma_s,mape_vs_true_pct,rel_vs_koma_pct
hybrid_cached_perline,T1_6,0.3841,0.33419538730765835,0.003820078761525403,12.99260939660027,0.0
hybrid_cached_perline,T1_7,0.2723,0.23448288825889158,0.0026802976204884366,13.88803222222123,0.0
hybrid_cached_perline,T1_8,0.1945,0.16265135577436082,0.0028048827997669695,16.374624280534285,0.0
hybrid_cached_perline,T1_9,0.1378,0.11412174174051708,0.002609147453419801,17.183061146214026,0.0
hybrid_cached_perline,T1_10,0.0947,0.07476426528190985,0.0021490062471434465,21.051462215512302,0.0
hybrid_cached_perline,T1_11,0.067,0.05618104311812582,0.0012844583630297265,16.14769683861818,0.0
hybrid_cached_perline,T1_12,0.04814,0.04079369219958486,0.0009326597762602251,15.260298712952098,0.0
hybrid_cached_perline,T1_13,0.03435,0.02765739076272892,0.0009485931405142159,19.483578565563555,0.0
hybrid_cached_perline,T1_14,0.02416,0.018966778293056062,0.0008674955803265969,21.495122959205045,0.0
hybrid_analytic,T1_1,1.879,1.8991288036658351,0.0,1.0712508603424769,4.678305404656298
hybrid_analytic,T1_2,1.432,1.4768713374319185,0.0,3.133473284351852,7.098903659311927
hybrid_analytic,T1_3,1.027,1.0481357552731758,0.0,2.0580092768428337,9.57547622390494
hybrid_analytic,T1_4,0.7513,0.7354078138655297,0.0,2.115291645743418,8.330112948926695
hybrid_analytic,T1_5,0.527,0.49292660617579204,0.0028011408836435547,6.465539625086904,8.330112948926702
hybrid_analytic,T1_6,0.3841,0.3498300681741845,0.0,8.92213793955103,4.678305404656272
hybrid_analytic,T1_7,0.2723,0.24827443896406343,0.001427081814949438,8.823195385948058,5.881687490110007
hybrid_analytic,T1_8,0.1945,0.184443590139007,0.0010601820085452685,5.170390674032398,13.398126477886596
hybrid_analytic,T1_9,0.1378,0.14019207589628865,0.0008058242441162516,1.7359041337363192,22.844318495461348
hybrid_analytic,T1_10,0.0947,0.1041489808425038,0.0005986484844191786,9.977804479940652,39.30315565838102
hybrid_analytic,T1_11,0.067,0.07061113876645883,0.0,5.389759352923622,25.68499060793941
hybrid_analytic,T1_12,0.04814,0.04469988249700908,0.0005109498163489191,7.14606876400274,9.57547622390496
hybrid_analytic,T1_13,0.03435,0.033207634426407805,0.00037958566698001114,3.3256639697007104,20.06784989695554
hybrid_analytic,T1_14,0.02416,0.02495362636851045,0.000570510839564874,3.2848773531061672,31.564918316392387
theory_full,T1_1,1.879,1.814252529523045,0.0,3.445847284563867,0.0
theory_full,T1_2,1.432,1.3789789502700562,0.0,3.7025872716441137,0.0
theory_full,T1_3,1.027,0.9675386896045512,0.0,5.7898062702481665,1.1496002737164734
theory_full,T1_4,0.7513,0.7025408092179695,0.0,6.4899761456183285,3.488600173793012
theory_full,T1_5,0.527,0.4873243244085049,0.0,7.528591193832086,7.098903659311914
theory_full,T1_6,0.3841,0.34192337610250656,0.0019653760337874915,10.98063626594466,2.3124163553262522
theory_full,T1_7,0.2723,0.24545271389330148,0.0028056901289286312,9.859451379617521,4.678305404656294
theory_full,T1_8,0.1945,0.17419781882134736,0.0019911986019450073,10.4381394234718,7.098903659311909
theory_full,T1_9,0.1378,0.12362821172678459,0.0014131538730906903,10.284316598850083,8.330112948926715
theory_full,T1_10,0.0947,0.0847812761046428,0.0009691071885567712,10.47383727070455,13.398126477886601
theory_full,T1_11,0.067,0.05948543650301791,0.001025811785518766,11.215766413406113,5.881687490109955
theory_full,T1_12,0.04814,0.04319304969044181,0.0004937257006963659,10.276174303195242,5.881687490109972
theory_full,T1_13,0.03435,0.0306541122523004,0.0003503971856458534,10.759498537698978,10.835156198501057
theory_full,T1_14,0.02416,0.02175522693375768,0.0004973863357417632,9.953530903320859,14.701751650265768
