alpha_deg,block,TI_s,variant,target,ksp_relerr,img_relerr
5.0,5,0.7,water_cached,water0,0.007969150263472119,0.0036317805464238287
5.0,5,0.7,water0,water5,0.20043866253489734,0.06409906113346267
5.0,6,1.1,cached,koma_water0,0.010783967029158167,0.009599954275159238
5.0,6,1.1,cached,koma_water5,0.1074875875713948,0.05716058352862314
5.0,6,1.1,koma_water0,koma_water5,0.10163051347691668,0.05490244689195054
5.0,6,1.1,water_cached,water0,0.026333420640453735,0.01223676096301029
5.0,6,1.1,water0,water5,0.2291241689880064,0.06941803153163996
5.0,7,1.6,cached,koma_water0,0.019054728654225087,0.02645350761940003
5.0,7,1.6,cached,koma_water5,0.05741420195002147,0.050526503267326814
5.0,7,1.6,koma_water0,koma_water5,0.06324730826530459,0.05324754900321314
5.0,7,1.6,water_cached,water0,0.15547092854428138,0.07531954345962784
5.0,7,1.6,water0,water5,0.4614611249080068,0.14714349982475472
5.0,8,2.2,cached,koma_water0,0.02397431977974277,0.011648459937002512
5.0,8,2.2,cached,koma_water5,0.12427789291701725,0.0431021098815869
5.0,8,2.2,koma_water0,koma_water5,0.1340577531445204,0.04581308958541887
5.0,8,2.2,water_cached,water0,0.03338512006510166,0.01477559733688302
5.0,8,2.2,water0,water5,0.18236127135394478,0.059721582542403145
