alpha_deg,variant,label,T1_true_s,T1_fit_s,mape_vs_true_pct,rel_vs_truth_pct
90.0,cached,T1_10,0.0947,0.08192329972795631,13.491763750838114,0.0
90.0,cached,T1_11,0.067,0.05748018274778224,14.208682465996667,0.0
90.0,cached,T1_12,0.04814,0.04126265659677036,14.286130875009647,0.0
90.0,cached,T1_13,0.03435,0.02765739076272892,19.483578565563555,0.0
90.0,cached,T1_14,0.02416,0.017112601221120995,29.169696932446215,1.1496002737164865
30.0,koma_water5,T1_1,1.879,1.814252529523045,3.445847284563867,0.0
30.0,koma_water5,T1_2,1.432,1.3789789502700562,3.7025872716441137,0.0
30.0,koma_water5,T1_3,1.027,0.9349229654084803,8.965631411053517,2.2601522256060513
30.0,koma_water5,T1_4,0.7513,0.6788581621919336,9.642198563565334,1.1365346680615573
30.0,koma_water5,T1_5,0.527,0.4817857145157055,8.57956081295911,4.678305404656297
30.0,koma_water5,T1_6,0.3841,0.3229296625390904,15.925628081465662,3.370999480072657
30.0,koma_water5,T1_7,0.2723,0.24545271389330148,9.859451379617521,2.312416355326243
30.0,koma_water5,T1_8,0.1945,0.16080276672791305,17.325055666882754,3.3709994800726326
30.0,koma_water5,T1_9,0.1378,0.11412174174051708,17.183061146214026,3.3709994800726366
30.0,koma_water5,T1_10,0.0947,0.08286509020586648,12.49726483013044,5.8816874901099485
30.0,koma_water5,T1_11,0.067,0.05428718044671442,18.974357542217287,6.628362585198761
30.0,koma_water5,T1_12,0.04814,0.03897053170844537,19.047503721550964,7.689563614554737
30.0,koma_water5,T1_13,0.03435,0.026121033219566214,23.956235168657305,7.689563614554729
30.0,koma_water5,T1_14,0.02416,0.013307738897747253,44.91829926429117,26.55412874764218
30.0,koma_water0,T1_1,1.879,1.814252529523045,3.445847284563867,0.0
30.0,koma_water0,T1_2,1.432,1.3789789502700562,3.7025872716441137,0.0
30.0,koma_water0,T1_3,1.027,0.956542276970287,6.86053778283475,0.0
30.0,koma_water0,T1_4,0.7513,0.6866623174826387,8.60344503092789,0.0
30.0,koma_water0,T1_5,0.527,0.4602536434395457,12.665342800845217,0.0
30.0,koma_water0,T1_6,0.3841,0.33419538730765835,12.99260939660027,0.0
30.0,koma_water0,T1_7,0.2723,0.23990510891743155,11.896764995434607,0.0
30.0,koma_water0,T1_8,0.1945,0.166412532327447,14.440857415194353,0.0
30.0,koma_water0,T1_9,0.1378,0.11810299302121237,14.293909273430797,0.0
30.0,koma_water0,T1_10,0.0947,0.07826196594534501,17.358008505443497,0.0
30.0,koma_water0,T1_11,0.067,0.05814097508598348,13.222425244800778,0.0
30.0,koma_water0,T1_12,0.04814,0.04221682101655617,12.30406934658046,0.0
30.0,koma_water0,T1_13,0.03435,0.028296944790182747,17.621703667590253,0.0
30.0,koma_water0,T1_14,0.02416,0.018119110946376086,25.00367985771488,0.0
30.0,cached,T1_1,1.879,1.814252529523045,3.445847284563867,0.0
30.0,cached,T1_2,1.432,1.3789789502700562,3.7025872716441137,0.0
30.0,cached,T1_3,1.027,0.956542276970287,6.86053778283475,0.0
30.0,cached,T1_4,0.7513,0.6866623174826387,8.60344503092789,0.0
30.0,cached,T1_5,0.527,0.4602536434395457,12.665342800845217,0.0
